title,author,normalizedTitle,normalizedAuthor,occurrenceCount,statesCount,districtsCount,topBanStatus,topOrigin,sampleChallenges
"Sex Plus: Learning, Loving, and Enjoying Your Body","Green, Laci",sex plus learning loving and enjoying your body,green laci,1,1,1,Banned in Libraries and Classrooms,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Rockwood School District"", ""date"": ""August 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Shadows on the Stars,"Barron, T.A.",shadows on the stars,barron ta,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Shadowsong,"Jae-Jones, S.",shadowsong,jaejones s,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Shakespeare's Hamlet: The Manga Edition,"Shakespeare, William",shakespeares hamlet the manga edition,shakespeare william,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Shattered Warrior,"Shinn, Sharon",shattered warrior,shinn sharon,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Sirens,"Schulte, Mary",sirens,schulte mary,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Skeleton Key,"Horowitz, Anthony",skeleton key,horowitz anthony,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Slaughterhouse-Five: The Graphic Novel,"Vonnegut Jr., Kurt",slaughterhousefive the graphic novel,vonnegut jr kurt,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Snakehead,"Horowitz, Anthony",snakehead,horowitz anthony,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Snow Flower and the Secret Fan,"See, Lisa",snow flower and the secret fan,see lisa,1,1,1,Banned in Libraries and Classrooms,Informal Challenge,"[{""state"": ""Utah"", ""district"": ""Washington County School District"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Someday,"Levithan, David",someday,levithan david,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""November 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
